序号,年份,学科门类,项目类别,项目名称,申请人,学校名称
553.0,2015,外国文学,青年基金项目,杰克·克鲁亚克研究,谢志超,东华大学
554.0,2015,外国文学,青年基金项目,美国现当代文学中的芝加哥城市书写,管阳阳,复旦大学
555.0,2015,外国文学,青年基金项目,中日比较文学视域下的尾崎红叶文学研究,张秀强,广东外语外贸大学
556.0,2015,外国文学,青年基金项目,柯尔律治社会批评思想研究,黄弋,杭州电子科技大学
557.0,2015,外国文学,青年基金项目,诺斯替主义影响下的哈罗德·布鲁姆诗学创造及运用研究,杨龙,华东交通大学
558.0,2015,外国文学,青年基金项目,加拿大华人汉英双语作家作品研究,李良博,华南农业大学
559.0,2015,外国文学,青年基金项目,日本白桦派文学的伦理书写研究,谭杉杉,华中科技大学
560.0,2015,外国文学,青年基金项目,加拿大英语写实动物文学研究,涂慧,华中科技大学
561.0,2015,外国文学,青年基金项目,拉封丹《寓言集》中的寓言复调研究,王佳,华中师范大学
562.0,2015,外国文学,青年基金项目,19世纪中期美国女性作家的伦理探索及其当下意义,崔娃,吉林大学
563.0,2015,外国文学,青年基金项目,新世纪加拿大华裔文学离散母题的嬗变,刘淑玲,吉林大学
564.0,2015,外国文学,青年基金项目,圣经之维：美国南方文学经典的文化诗学阐释,王钢,吉林师范大学
565.0,2015,外国文学,青年基金项目,华夏与苏美尔文明发源的神话思维平行研究与关联性建构,金立江,吉林师范大学
566.0,2015,外国文学,青年基金项目,克里斯蒂娃的中国话语研究,罗昔明,江苏大学
567.0,2015,外国文学,青年基金项目,当代爱尔兰小说中爱尔兰身份问题研究,刘常轩,江苏师范大学
568.0,2015,外国文学,青年基金项目,黑人暴力书写与伦理思想表达：约翰·怀德曼小说研究,张琼,江西师范大学
569.0,2015,外国文学,青年基金项目,美国社会转型期小说人物价值取向研究,秦丹丹,金陵科技学院
570.0,2015,外国文学,青年基金项目,保罗.利科的想象诠释学：从语义创新到社会行动,赵娜,鲁东大学
571.0,2015,外国文学,青年基金项目,池泽夏树小说的空间叙事研究,吕斌,南京大学
572.0,2015,外国文学,青年基金项目,《源氏物语》的道家思想源流研究,张楠,南京理工大学
573.0,2015,外国文学,青年基金项目,托马斯·基尼利研究,周小进,上海对外经贸大学
574.0,2015,外国文学,青年基金项目,乔伊斯小说的医学主题研究,陈豪,上海对外经贸大学
575.0,2015,外国文学,青年基金项目,科马克·麦卡锡小说的伦理思想研究,单建国,上海对外经贸大学
576.0,2015,外国文学,青年基金项目,十七世纪英国喜剧与国民性研究,刘思远,上海外国语大学
577.0,2015,外国文学,青年基金项目,加拿大文化视阈下的艾丽丝·门罗短篇小说研究,周怡,上海外国语大学
578.0,2015,外国文学,青年基金项目,20世纪以来的阿拉伯现代文学离散写作研究,陆怡玮,上海外国语大学
579.0,2015,外国文学,青年基金项目,两战之间英美现代主义作家的战争想象研究,程汇涓,上海外国语大学
580.0,2015,外国文学,青年基金项目,认知陌生化：赫·乔·威尔斯科幻研究,黎婵,四川大学
581.0,2015,外国文学,青年基金项目,美国史诗性小说研究,杨晓丽,太原科技大学
582.0,2015,外国文学,青年基金项目,百年普利策小说奖研究,史丽,通化师范学院
583.0,2015,外国文学,青年基金项目,日本教科书中的“军国美谈文学”研究(1894-1945),周萍萍,外交学院
584.0,2015,外国文学,青年基金项目,辛西娅·欧芝克小说中的身份书写研究,赵娜,西安文理学院
585.0,2015,外国文学,青年基金项目,伦理学视阈下的唐·德里罗与余华小说比较研究,张敏,西北大学
586.0,2015,外国文学,青年基金项目,认知诗学视阈下《小世界》中浪漫传奇的原型研究,李利敏,西北政法大学
587.0,2015,外国文学,青年基金项目,当代英国女作家“新维多利亚小说”研究,汤黎,西南民族大学
588.0,2015,外国文学,青年基金项目,战后日本大众文学视阈中的西域表象研究,赵建萍,新疆大学
589.0,2015,外国文学,青年基金项目,苏珊.桑塔格美学思想研究,唐蕾,盐城师范学院
590.0,2015,外国文学,青年基金项目,现代非洲文学之父钦努阿？阿契贝的口头叙事艺术研究,段静,长沙理工大学
591.0,2015,外国文学,青年基金项目,美国儿童文学在中国的译介研究（1949-2000）,应承霏,浙江农林大学
592.0,2015,外国文学,青年基金项目,当代华裔美国诗歌创作主题研究,张春敏,中南大学
593.0,2015,外国文学,青年基金项目,翻译家钱稻孙研究,邹双双,中山大学
594.0,2015,外国文学,青年基金项目,美国本土裔小说正义主题研究,杨恒,中央民族大学
595.0,2015,外国文学,青年基金项目,文化批评视野下的佩里·安德森思想研究,赖永兵,重庆三峡学院
596.0,2015,艺术学,规划基金项目,基于图像学方法的《园冶》造园理法研究,傅凡,北方工业大学
597.0,2015,艺术学,规划基金项目,应对气候环境变化影响下的城市住区低碳交通规划设计研究,魏泽崧,北京交通大学
598.0,2015,艺术学,规划基金项目,基于遗产廊道理论的北京地铁站内公共空间文化遗产资源整合策略,孟彤,北京交通大学
599.0,2015,艺术学,规划基金项目,河南卫视《梨园春》栏目20年间传承中原文化及产业化研究,王彦霞,北京联合大学
600.0,2015,艺术学,规划基金项目,中国当代工艺美术品牌化发展现状及创新策略研究,王丹谊,北京联合大学
601.0,2015,艺术学,规划基金项目,明清印章款识中的印学文献整理与研究,陈国成,渤海大学
602.0,2015,艺术学,规划基金项目,新世纪我国高等院校舞蹈创作研究,周宏,东北师范大学
603.0,2015,艺术学,规划基金项目,教师专业标准实施背景下中学音乐教育专业素质发展研究,丁嫚莉,东北师范大学
604.0,2015,艺术学,规划基金项目,高校创意设计类成果转化机制研究,钟立生,广东财经大学
605.0,2015,艺术学,规划基金项目,岭南城市文化的还原与建构：基于地理空间信息系统（GIS）的环境艺术设计方法研究,王少斌,广东财经大学
606.0,2015,艺术学,规划基金项目,生存与创物：黎族造物特征研究,袁晓莉,海南大学
607.0,2015,艺术学,规划基金项目,我国重大设计项目中的设计批评激辩研究,刘永涛,河南工程学院
608.0,2015,艺术学,规划基金项目,韩国朝鲜前期文献中的中国美术史料汇编,金弘大,河南理工大学
609.0,2015,艺术学,规划基金项目,生态文明视域下的吊脚楼民居与聚落研究,王红英,湖北工业大学
610.0,2015,艺术学,规划基金项目,特高压输变电线路景观艺术研究,尹传垠,湖北美术学院
611.0,2015,艺术学,规划基金项目,中国民族特色动画艺术的形成与发展问题研究,施俊,湖北文理学院
612.0,2015,艺术学,规划基金项目,新农建设中以乡土文化传承来保护湘西民族传统村落的研究,罗明金,湖南第一师范学院
613.0,2015,艺术学,规划基金项目,食品包装安全设计的管理与方法研究,黎英,湖南工业大学
614.0,2015,艺术学,规划基金项目,洞庭湖区水神信仰民俗音乐研究,曾娜妮,湖南文理学院
615.0,2015,艺术学,规划基金项目,中国当代钢琴二重奏音乐研究,张凯,华中师范大学
616.0,2015,艺术学,规划基金项目,民国文学插图研究,王文新,华中师范大学
617.0,2015,艺术学,规划基金项目,武陵山片区民间竹编文化传承与工艺创新研究,李柏山,怀化学院
618.0,2015,艺术学,规划基金项目,贺绿汀与20世纪中国音乐教育研究,徐科锐,吉林艺术学院
619.0,2015,艺术学,规划基金项目,从“海上丝绸之路”看福建南音的融合与传播,许国红,集美大学
620.0,2015,艺术学,规划基金项目,闽南地区手工技艺的生存现状调查与发展研究,赵胜利,集美大学
621.0,2015,艺术学,规划基金项目,品味、意境、风格的体系建构:中国美学理论视野下的摄影意境论,陈杰,江汉大学
622.0,2015,艺术学,规划基金项目,龟兹石窟造像思想研究,满盈盈,江南大学
623.0,2015,艺术学,规划基金项目,豫西北明清戏台及戏曲碑刻调查与研究,王建设,焦作师范高等专科学校
624.0,2015,艺术学,规划基金项目,甘肃地方音乐文献库建设理论与方法研究,刘忠,兰州文理学院
625.0,2015,艺术学,规划基金项目,俄罗斯当代作曲技术理论课程体系研究,彭程,临沂大学
626.0,2015,艺术学,规划基金项目,陇东南区域民间美术的文化历史特征研究,余永红,陇南师范高等专科学校
627.0,2015,艺术学,规划基金项目,三种南宋传世乐谱的宫调乐学研究,张红梅,鲁东大学
628.0,2015,艺术学,规划基金项目,文脉精神：基于以地域性传统文化传承与创新为理念的动画话语建构研究,侯文辉,南京工程学院
629.0,2015,艺术学,规划基金项目,基于数字技术下的民国建筑装饰艺术研究,朱飞,南京艺术学院
630.0,2015,艺术学,规划基金项目,水族铜鼓音乐文化及及现代价值研究,赵凌,黔南民族师范学院
631.0,2015,艺术学,20世纪海外汉学家的中国古代画论研究——以英语文化圈为中心,规划基金项目,殷晓蕾,青岛科技大学
632.0,2015,艺术学,规划基金项目,中国汉字设计史,陈楠,清华大学
633.0,2015,艺术学,规划基金项目,长阳南曲源流研究——兼论清朝初期政治统治制度对土家文化的影响,陈琼,三峡大学
634.0,2015,艺术学,规划基金项目,华南民间口头艺术：社会、历史与文化传承,黄向春,厦门大学
635.0,2015,艺术学,规划基金项目,史官主书与秦书八体,徐学标,山东工艺美术学院
636.0,2015,艺术学,规划基金项目,现代城市地下空间的规划、控制与设计研究,赵景伟,山东科技大学
637.0,2015,艺术学,规划基金项目,中国小提琴艺术发展史研究,周明,山东艺术学院
638.0,2015,艺术学,规划基金项目,中国当代钢琴音乐的五声性调式和声技法研究,张新梅,陕西师范大学
639.0,2015,艺术学,规划基金项目,美国艺术资助制度研究,马琳,上海大学
640.0,2015,艺术学,规划基金项目,贝克特戏剧创作思想及形式实验研究,陈惠,上海师范大学
641.0,2015,艺术学,规划基金项目,“乡愁型”人文景观在城市更新中的营造与融合研究,王新宇,上海师范大学
642.0,2015,艺术学,规划基金项目,中国历代女性琴人史料考订与研究,戴微,上海音乐学院
643.0,2015,艺术学,规划基金项目,家居装饰对家风构建的影响研究,蒋剑平,邵阳学院
644.0,2015,艺术学,规划基金项目,后调性理论应用及习题全解指南,齐研,沈阳音乐学院
645.0,2015,艺术学,规划基金项目,环境图形设计研究,张兵,天津师范大学
646.0,2015,艺术学,规划基金项目,基于数字化的吴越民间服饰文化传承与创新研究,金晨怡,温州大学
647.0,2015,艺术学,规划基金项目,契诃夫与中国现实主义戏剧的新拓展,陈晖,武汉大学
648.0,2015,艺术学,规划基金项目,基于人机工效学的孤独症儿童康复机构室内外环境设计研究：模型和实证,李莉,武汉轻工大学
649.0,2015,艺术学,规划基金项目,电影影像创作前沿技术与艺术互动研究——基于技术热点的数据分析,张燕菊,西安建筑科技大学
650.0,2015,艺术学,规划基金项目,源流与残存：云南少数民族干阑造型比较研究,王东焱,西南林业大学
651.0,2015,艺术学,规划基金项目,新疆地区秦腔艺术的传承与发展研究,王丹,新疆艺术学院
652.0,2015,艺术学,规划基金项目,非洲艺术在中国的历时接受和当代传播研究,潘江龙,浙江师范大学
653.0,2015,艺术学,规划基金项目,综合材料艺术与当代中国高等美术教育体系的建立,牟宇宙,浙江师范大学
654.0,2015,艺术学,规划基金项目,浙东民间吹打音乐研究,殷颙,浙江外国语学院
655.0,2015,艺术学,规划基金项目,湖南维吾尔族音乐文化族性认同的内在张力研究,张俊,中南大学
656.0,2015,艺术学,规划基金项目,中国朝鲜族舞蹈史,朴永光,中央民族大学
657.0,2015,艺术学,规划基金项目,互联网环境下的当代中国电影产业研究,顾峥,中央戏剧学院
658.0,2015,艺术学,规划基金项目,三峡民歌在移民后期的保护现状与传承策略,肖玲,重庆大学
659.0,2015,艺术学,规划基金项目,西南地区佛寺壁画的数字化保护研究,李雅梅,重庆大学
660.0,2015,艺术学,规划基金项目,巴蜀石刻书法研究,陈龙国,重庆文理学院
661.0,2015,艺术学,青年基金项目,“非遗”视野下江南民间草龙艺术的保护与传承研究,王猛,安徽大学
662.0,2015,艺术学,青年基金项目,明清以来安徽戏曲舞蹈文化研究,韩丽,安徽师范大学
663.0,2015,艺术学,青年基金项目,“服妖”及魏晋南北朝时期的服饰风尚研究,郭小文,安徽职业技术学院
664.0,2015,艺术学,青年基金项目,中国传统五声性音乐调式感知的ERP研究,豆军红,宝鸡文理学院
665.0,2015,艺术学,青年基金项目,民间传统手工艺在高校素质教育中的实践研究,满芊何,北京理工大学
666.0,2015,艺术学,青年基金项目,中日当代艺术设计教育比较研究,张洪海,北京理工大学
667.0,2015,艺术学,青年基金项目,海上丝绸之路与华人国族认同——以东南亚妈祖造像为中心的研究,王芊,北京联合大学
668.0,2015,艺术学,青年基金项目,新疆哈萨克族手工木器艺术的调查研究,覃伟伟,昌吉学院
669.0,2015,艺术学,青年基金项目,近代来华艺术史学者研究,叶公平,常州工学院
670.0,2015,艺术学,青年基金项目,汉代肖形印图形研究,于洁,常州工学院
671.0,2015,艺术学,青年基金项目,现代川剧音乐的形成、发展及其变革研究,岳圣东,成都师范学院
672.0,2015,艺术学,青年基金项目,云南汉晋至大理国时期金石书法研究,张云霁,大理学院
673.0,2015,艺术学,青年基金项目,商业动画电影的叙事与符号研究,陆方,大连大学
674.0,2015,艺术学,青年基金项目,数字艺术与增强现实的结合应用研究,邱雅慧,大连东软信息学院
675.0,2015,艺术学,青年基金项目,基于师法自然精神内核的汉族节庆服饰文化物承形式研究,杜博,大连工业大学
676.0,2015,艺术学,青年基金项目,设计艺术学本科学生专业能力的成绩评价体系研究,王莹,东北师范大学
677.0,2015,艺术学,青年基金项目,机绣工艺的创意表现与运用研究,倪明,东华大学
678.0,2015,艺术学,青年基金项目,库木吐喇石窟汉风与回鹘风壁画的调查与研究,刘韬,防灾科技学院
679.0,2015,艺术学,青年基金项目,中国画论境域下城市人居环境设计研究,许艳,阜阳师范学院
680.0,2015,艺术学,青年基金项目,美术史视野中秦汉时代的“天下”观,刘晓达,广东第二师范学院
681.0,2015,艺术学,青年基金项目,传承下的艺术资源复用：蓪纸画的图像传播及生存形态研究,黄蓓,广东工业大学
682.0,2015,艺术学,青年基金项目,设计政策驱动经济变革----芬兰的启示与借鉴,陈朝杰,广东工业大学
683.0,2015,艺术学,青年基金项目,美国第一人称纪录片研究,李淑娟,广东工业大学
684.0,2015,艺术学,青年基金项目,清末民初中国“设计”观念史研究,颜勇,广东工业大学
685.0,2015,艺术学,青年基金项目,桂北古民居美术创作价值研究,邢福生,广西师范大学漓江学院
686.0,2015,艺术学,青年基金项目,广西中越边境跨界族群音乐文化的互动与传承研究,张灿,广西艺术学院
687.0,2015,艺术学,青年基金项目,广东海上丝绸之路文化遗产的数字化保护与传承研究,陈坤,广州航海学院
688.0,2015,艺术学,青年基金项目,审美文化视阈中的“苗图”研究,王万发,贵州师范大学
689.0,2015,艺术学,青年基金项目,东北地区农业景观的文化形态与生态规划研究,初冬,哈尔滨商业大学
690.0,2015,艺术学,青年基金项目,浙江“传统商帮”建筑装饰艺术及其当代价值研究,叶卫霞,杭州科技职业技术学院
691.0,2015,艺术学,青年基金项目,地方戏曲民间文化生态的失落与重建:以杭剧为中心,陈漪,杭州师范大学
692.0,2015,艺术学,青年基金项目,《新音乐资源》节奏理论构建及其实践研究,陈沛,杭州师范大学
693.0,2015,艺术学,青年基金项目,牌坊群在棠樾村落改造设计中的价值研究,曹昊,合肥工业大学
694.0,2015,艺术学,青年基金项目,南疆维吾尔传统民居木雕装饰艺术研究,马晶,和田师范专科学校
695.0,2015,艺术学,青年基金项目,艺术生态视域下的高平寺观壁画群研究,刘伟,河南理工大学
696.0,2015,艺术学,青年基金项目,曹州面塑传承人口述史,刘进,菏泽学院
697.0,2015,艺术学,青年基金项目,基于移动智能终端的博物馆文化遗产数字化沉浸式交互体验设计研究,王红,湖北大学
698.0,2015,艺术学,青年基金项目,当代“写意重彩画”研究,王慧娟,湖北师范学院
699.0,2015,艺术学,青年基金项目,楚舞形态及文化研究,龚倩,湖南大众传媒职业技术学院
700.0,2015,艺术学,青年基金项目,新中国十七年文艺中的民间原型阐释,田蓉辉,湖南工程学院
701.0,2015,艺术学,青年基金项目,湘、鄂、黔、渝地区传统女红类非物质文化遗产传承人口述史研究,张红颖,湖南工业大学
702.0,2015,艺术学,青年基金项目,湖南民间传统染织艺术资源数据库建设与应用研究,林军,湖南科技大学
703.0,2015,艺术学,青年基金项目,游艺：清代古琴文化生态系统研究,吴安宇,湖南师范大学
704.0,2015,艺术学,青年基金项目,集体记忆视阈下的革命历史题材电视剧研究,龙念,湖南师范大学
705.0,2015,艺术学,青年基金项目,设计关怀贫困群体的伦理考量与实践研究,韩超,湖州师范学院
706.0,2015,艺术学,青年基金项目,中国戏曲数字地图创建研究,杜丽萍,华北科技学院
707.0,2015,艺术学,青年基金项目,基于数字技术的城市公交站点设计策略研究,甘伟,华中科技大学
708.0,2015,艺术学,青年基金项目,20世纪中国钢琴教育史研究,朱力,华中师范大学
709.0,2015,艺术学,青年基金项目,中国古代舞蹈教育史,梁宇,华中师范大学
710.0,2015,艺术学,青年基金项目,灾后应急居住空间与安抚共适的设计研究,唐文,华中师范大学
711.0,2015,艺术学,青年基金项目,俄罗斯学派中国钢琴家研究：谱系、风格及影响,熊文,华中师范大学
712.0,2015,艺术学,青年基金项目,当代大学生的音乐偏好与行为的社会心理研究,刘珂,华中师范大学
713.0,2015,艺术学,青年基金项目,孩子们的现代主义——现代儿童绘本造型观念与方法研究,童坤,黄冈师范学院
714.0,2015,艺术学,青年基金项目,基于VR技术艺用人体解剖桌面式VR系统的研究与开发,陈方,黄冈师范学院
715.0,2015,艺术学,青年基金项目,技术与人文的融构——中文数字字体设计、应用与嬗递研究,吴轶博,吉林艺术学院
716.0,2015,艺术学,青年基金项目,湘西音乐舞蹈类非物质文化遗产传承人生存现状与政府保护制度构建研究,徐燕琴,吉首大学
717.0,2015,艺术学,青年基金项目,中国电影史学史研究（1896-1949）,孙晓天,济南大学
718.0,2015,艺术学,青年基金项目,祝允明人生与书学考论,朱圭铭,暨南大学
719.0,2015,艺术学,青年基金项目,明式家具传统美学的符号内涵及其国际影响研究,孙巍巍,佳木斯大学
720.0,2015,艺术学,青年基金项目,粤东北客家区域明清建筑彩画研究,胡军,嘉应学院
721.0,2015,艺术学,青年基金项目,老龄化背景下的可穿戴设备服务设计策略,徐娟芳,江南大学
722.0,2015,艺术学,青年基金项目,当代电影批评范式的发展转向问题研究,李云凤,江西科技师范大学
723.0,2015,艺术学,青年基金项目,中国“红色经典艺术”数据库系统建设,董翔,江西理工大学
724.0,2015,艺术学,青年基金项目,西南少数民族多声部民歌唱法研究,刘雯,江西师范大学
725.0,2015,艺术学,青年基金项目,永靖白塔寺川古建筑营造与修复技艺研究,李晶晶,兰州大学
726.0,2015,艺术学,青年基金项目,河西走廊东部裕固族音乐文化传承与变迁研究,燕仲飞,兰州大学
727.0,2015,艺术学,青年基金项目,“海派电影文化”与中国早期电影研究,邢军,辽宁师范大学
728.0,2015,艺术学,青年基金项目,湛江版画的历史省思与现实价值研究（1950——2010）,张健,岭南师范学院
729.0,2015,艺术学,青年基金项目,赣西客家山歌研究,万丽萍,南昌师范高等专科学校
730.0,2015,艺术学,青年基金项目,人居环境科学视野下的环境设计手绘图像学研究,徐伟,南京理工大学
731.0,2015,艺术学,青年基金项目,基于儿童认知阶段的中国符号植入式玩具设计研究,苗艳凤,南京林业大学
732.0,2015,艺术学,青年基金项目,太平天国壁画艺术研究,于安记,南京农业大学
733.0,2015,艺术学,青年基金项目,抗战时期国民党官办剧团研究——以中万、中电、中青为例,段丽,南京晓庄学院
734.0,2015,艺术学,青年基金项目,多元文化视阈下的元代绘画风格演变研究,刘凯,南京信息工程大学
735.0,2015,艺术学,青年基金项目,中国日常生活中的设计实践研究：以回龙桥13号民国居民楼为例,孙海燕,南京艺术学院
736.0,2015,艺术学,青年基金项目,“琴谱”演变与古琴艺术传承关系研究,魏圩,南京艺术学院
737.0,2015,艺术学,青年基金项目,清代琴学思想研究,李小戈,南京艺术学院
738.0,2015,艺术学,青年基金项目,公共空间新媒体艺术的构成及应用研究,陈媛媛,南京邮电大学
739.0,2015,艺术学,青年基金项目,河南板头曲艺术研究,郝方,南阳师范学院
740.0,2015,艺术学,青年基金项目,蒙古族传统造物设计思想研究,高俊虹,内蒙古大学
741.0,2015,艺术学,青年基金项目,当代蒙古族戏剧艺术研究,乌兰,内蒙古大学
742.0,2015,艺术学,青年基金项目,内蒙古地区汉藏结合式召庙殿堂建筑装饰艺术研究,莫日根,内蒙古工业大学
743.0,2015,艺术学,青年基金项目,内蒙古和林格尔出土东汉壁画的图像与建筑关系研究,崔雪冬,内蒙古师范大学
744.0,2015,艺术学,青年基金项目,基于时尚消费潮流的齐鲁民俗手工艺产业市场化研究,单春晓,青岛滨海学院
745.0,2015,艺术学,青年基金项目,欧美的非洲艺术研究及对我国相关研究的启示,李彩,青岛大学
746.0,2015,艺术学,青年基金项目,清代楹联书法研究,薛帅杰,清华大学
747.0,2015,艺术学,青年基金项目,海峡两岸文化产业管理人才培养机制比较与创新研究,王乃考,厦门大学嘉庚学院
748.0,2015,艺术学,青年基金项目,台湾电影的身份认同建构及其对南台湾大学生国族意识的影响,李洋,厦门理工学院
749.0,2015,艺术学,青年基金项目,综合性大学舞蹈编导课程设计和教学策略的研究,高志毅,山东师范大学
750.0,2015,艺术学,青年基金项目,列维-斯特劳斯艺术人类学思想与中国艺术人类学发展研究,董龙昌,山东师范大学
751.0,2015,艺术学,青年基金项目,民国时期戏曲收藏与戏曲学嬗变研究,杨慧,山西师范大学
752.0,2015,艺术学,青年基金项目,吴晓邦先生舞蹈教育思想的当代价值与研究,党允彤,陕西师范大学
753.0,2015,艺术学,青年基金项目,陕西榆林地区汉画像石的乐舞研究,陈婧雅,陕西师范大学
754.0,2015,艺术学,青年基金项目,中国民间印刷图形的类型与属性研究,梁海燕,上海大学
755.0,2015,艺术学,青年基金项目,晚明江南地区版画中的古典母题研究,陈研,上海师范大学
756.0,2015,艺术学,青年基金项目,族群·边界·认同——中韩跨国语境下朝鲜族传统音乐的变迁与保护研究,宁颖,上海音乐学院
757.0,2015,艺术学,青年基金项目,上海音乐学院初创15年校史研究（1927-1942）,肖阳,上海音乐学院
758.0,2015,艺术学,青年基金项目,当代中国电影中的异国叙事研究,陈瑜,上海应用技术学院
759.0,2015,艺术学,青年基金项目,犍陀罗佛教故事雕刻研究,蔡枫,深圳大学
760.0,2015,艺术学,青年基金项目,我国童声合唱现状及普及模式研究,梁莹,沈阳音乐学院
761.0,2015,艺术学,青年基金项目,新疆佛教石窟中的乐器学研究,吴春艳,石河子大学
762.0,2015,艺术学,青年基金项目,义务教育阶段学校美术教育中的“视觉性”研究,段鹏,首都师范大学
763.0,2015,艺术学,青年基金项目,宋代巴蜀地区墓葬石刻艺术研究,孙垂利,四川美术学院
764.0,2015,艺术学,青年基金项目,西藏宗教艺术与心理研究,兰倩,四川师范大学
765.0,2015,艺术学,青年基金项目,20世纪西方音乐创作中的音程循环技术研究,陈林,苏州科技学院
766.0,2015,艺术学,青年基金项目,中国佛教艺术圣树的图像学研究,刘芊,苏州科技学院
767.0,2015,艺术学,青年基金项目,20世纪图像研究：从图像学到图像理论,郑二利,天津工业大学
768.0,2015,艺术学,青年基金项目,清代宫廷昆弋承应戏音乐研究,周丹,天津工业大学
769.0,2015,艺术学,青年基金项目,基于用户体验的智能手机APP交互设计艺术研究,徐延章,天津师范大学
770.0,2015,艺术学,青年基金项目,康雍乾景德镇瓷器绘画研究,李青阳,铜陵学院
771.0,2015,艺术学,青年基金项目,西江流域近代骑楼建筑保护与开发利用策略研究—以梧州为例,于洋,梧州学院
772.0,2015,艺术学,青年基金项目,中国艺术学科术语的现代转换与日本的渊源,王杰红,武汉大学
773.0,2015,艺术学,青年基金项目,数字化背景下的中外纤维艺术研究,李明娟,武汉纺织大学
774.0,2015,艺术学,青年基金项目,陕西关中地区半城市化境遇下的农村医疗卫生基础设施环境研究,吴博,西安科技大学
775.0,2015,艺术学,青年基金项目,魏晋音乐编年史,刘亚男,西华师范大学
776.0,2015,艺术学,青年基金项目,基于肢体功能障碍患者的康复环境设计及效果研究,郭晶,西南林业大学
777.0,2015,艺术学,青年基金项目,西南地区少数民族村镇景观民族化设计路径研究,包蓉,西南林业大学
778.0,2015,艺术学,青年基金项目,新疆艾德莱斯纹饰数字艺术保护及创新应用研究,张瑜,新疆大学
779.0,2015,艺术学,青年基金项目,跨界民族音乐文化交流与认同—以中国赫哲族和俄罗斯那乃族民间音乐为例,徐熳,燕山大学
780.0,2015,艺术学,青年基金项目,性别审视：中国古代女性图像的女性主义视角考察,范银花,扬州大学
781.0,2015,艺术学,青年基金项目,陕北民间装饰绘画中“凤鸟”图像源流及其象征意义研究,高晓黎,长安大学
782.0,2015,艺术学,青年基金项目,中国明清古城传统街区的当代影像实录与研究——以荆州古城为例,李科,长江大学
783.0,2015,艺术学,青年基金项目,文化生态视阈下毛古斯舞的生存现状及传承发展研究,肖溪格,长沙师范学院
784.0,2015,艺术学,青年基金项目,以工业设计推动龙泉青瓷生产性保护的策略研究与实践,李锋,浙江理工大学
785.0,2015,艺术学,青年基金项目,法国传统村落民居保护性设计的经验及借鉴研究,童威,浙江理工大学
786.0,2015,艺术学,青年基金项目,影像美学（导论）,侯军,中国传媒大学
787.0,2015,艺术学,青年基金项目,基于生态价值观的废弃矿区景观再生设计研究,廖启鹏,中国地质大学
788.0,2015,艺术学,青年基金项目,三峡库区秭归民间音乐的调查与保护传承研究,袁玥,中国地质大学
789.0,2015,艺术学,青年基金项目,金石礼乐在汉代的转型与没落,朱国伟,中国矿业大学
790.0,2015,艺术学,青年基金项目,京剧旦行唱片研究（1906—1949）,李楠,中国戏曲学院
791.0,2015,艺术学,青年基金项目,中国民歌文化的全球化传承与传播策略研究,张红蕾,中南财经政法大学
792.0,2015,艺术学,青年基金项目,中日高校漆艺教育比较研究,方兆华,中南民族大学
793.0,2015,艺术学,青年基金项目,西南少数民族舞蹈教学钢琴音乐曲集及研究,金玉仁,中央民族大学
794.0,2015,艺术学,青年基金项目,斯坦尼斯拉夫斯基演员训练在欧美发展的借鉴研究,罗宇,中央戏剧学院
795.0,2015,艺术学,青年基金项目,面向中国环保未来的纸民用家具设计研究,陈书琴,仲恺农业工程学院
796.0,2015,艺术学,青年基金项目,世界现代陶瓷设计史,张红霞,重庆大学
797.0,2015,艺术学,青年基金项目,网络制播青春剧的叙事发展及其对女大学生价值观的影响研究,田园,重庆交通大学
798.0,2015,艺术学,自筹经费项目,临夏砖雕非物质文化遗产档案,牛乐,西北民族大学
799.0,2015,历史学,规划基金项目,北京协和医学院民国时期教育史料整理与研究,王勇,北京协和医学院
800.0,2015,历史学,规划基金项目,战国秦汉时期农业与社会的互动——以简牍为中心,李亚光,渤海大学
801.0,2015,历史学,规划基金项目,中共“三大”代表研究,苗体君,广东海洋大学
802.0,2015,历史学,规划基金项目,中国共产党巡视制度的创新研究,汪清,合肥工业大学
803.0,2015,历史学,规划基金项目,明代河南地方军事制度研究,郑晓文,河南大学
804.0,2015,历史学,规划基金项目,18世纪英国“消费革命”研究,曹瑞臣,菏泽学院
805.0,2015,历史学,规划基金项目,北宋西北地区的寨堡与军事地理研究,尚平,湖北师范学院
806.0,2015,历史学,规划基金项目,魏晋南北朝时期的谱牒研究,李传印,华中科技大学
807.0,2015,历史学,规划基金项目,抗战时期华中地区日军毁损文献罪行的研究－－以高校图书馆、博物馆、档案馆馆藏为例,乔菊英,华中师范大学
808.0,2015,历史学,规划基金项目,世界古代的政治体制与史学起源研究,史海波,吉林大学
809.0,2015,历史学,规划基金项目,建国初期西南民族地区土地制度变革与乡村社会重构研究(1949-1957),范连生,凯里学院
810.0,2015,历史学,规划基金项目,唐宋时期的学校教育与学礼演变,王美华,辽宁大学
811.0,2015,历史学,规划基金项目,出土墓志与唐代宰相世系研究,张应桥,洛阳理工学院
812.0,2015,历史学,规划基金项目,明清海上丝绸之路的华茶外销与茶文化传播研究,朱世桂,南京农业大学
813.0,2015,历史学,规划基金项目,敦煌古藏文官府文书整理研究,陆离,南京师范大学
814.0,2015,历史学,规划基金项目,抗战胜利后的城市社会治理与地方政权——以上海市为中心的考察与比较,邓丽兰,南开大学
